id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,firstname,lastname,title,salary,hiredate,isEmployed,department
101,2015-06-06T00:00:00,2015-06-06T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Anette,Velasquez,Sales Associate,5000.0,2015-08-15,true,100.0
102,2014-04-03T00:00:00,2014-04-03T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Mandel,Checchi,Database Administrator,8000.0,2016-07-03,true,400.0
103,2015-03-23T00:00:00,2015-03-23T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Skye,Foyster,Web Developer,7550.0,2016-10-18,true,300.0
104,2015-02-17T00:00:00,2015-02-17T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Florie,Frie,Network Administrator,7000.0,2017-01-09,true,400.0
105,2015-05-11T00:00:00,2015-05-11T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Giusto,Suller,Senior Sales Associate,5500.0,2016-08-26,true,100.0
106,2015-06-06T00:00:00,2015-06-06T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Kristel,Makinson,Sales Manager,7000.0,2016-09-21,true,100.0
107,2014-04-03T00:00:00,2014-04-03T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Paulita,Tattershall,Operations Manager,8000.0,2016-01-16,true,400.0
108,2015-03-23T00:00:00,2015-03-23T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Mose,McGowing,Human Resources Rep,5600.0,2016-02-23,true,200.0
109,2015-02-17T00:00:00,2015-02-17T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Miguel,Gownge,Sales Associate,5200.0,2015-07-28,true,100.0
110,2015-05-11T00:00:00,2015-05-11T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Edy,Bygraves,Senior Sales Associate,6100.0,2015-03-02,true,100.0
111,2015-06-06T00:00:00,2015-06-06T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Adina,M'Quhan,Network Administrator,7300.0,2016-05-19,true,400.0
112,2014-04-03T00:00:00,2014-04-03T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Tull,Keeting,Sales Associate,4900.0,2017-02-17,false,100.0
113,2015-03-23T00:00:00,2015-03-23T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Benetta,Phillput,Senior Accountant,8800.0,2016-08-16,true,500.0
114,2015-02-17T00:00:00,2015-02-17T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Wilek,Friel,Senior Accountant,8500.0,2015-12-15,true,500.0
115,2015-05-11T00:00:00,2015-05-11T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Sarina,Jowitt,Sales Associate,5100.0,2015-11-08,true,100.0
116,2015-06-06T00:00:00,2015-06-06T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Marylynne,Calcut,Database Developer,7900.0,2016-09-05,true,300.0
117,2014-04-03T00:00:00,2014-04-03T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Pavel,Carnduff,Accounting Manager,8300.0,2015-08-08,true,500.0
118,2015-03-23T00:00:00,2015-03-23T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Reynolds,Mandeville,Human Resources Manager,6500.0,2016-04-17,true,200.0
119,2015-02-17T00:00:00,2015-02-17T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Omero,Girodin,Development Manager,7600.0,2017-02-27,true,300.0
120,2015-05-11T00:00:00,2015-05-11T00:00:00,brian.fry@oracle.com,brian.fry@oracle.com,Damita,Lyddiard,Web Developer,6900.0,2016-05-10,true,300.0
